Men
1.1: 1AACBB
1.2: 2BCBAA
1.3: 3CBA
2.1: 1BBAAA
2.2: 2CACBB
2.3: 3ACB
3.1: 1CCBBA
3.2: 2ABAAB
3.3: 3BAC
4.1: 1BABAB
4.2: 2ABABA
4.3: 3CCC
5.1: 1CCAAB
5.2: 2BABBA
5.3: 3ABC
6.1: 1ACCAA
6.2: 2CBBBB
6.3: 3BAA
7.1: 1BBBBB
7.2: 2CCCAA
7.3: 3AAA
8.1: 1AAABA
8.2: 2BBCAB
8.3: 3CCB
9.1: 1CBCBB
9.2: 2AAAAA
9.3: 3BCB
10.1: 1CACAA
10.2: 2BCABB
10.3: 3ABB
11.1: 1BCABA
11.2: 2AABAB
11.3: 3CBC
12.1: 1ABAAB
12.2: 2BCCBA
12.3: 3CAB
13.1: 1ACBAB
13.2: 2CACBA
13.3: 3BBA
14.1: 1BCCBB
14.2: 2CBAAA
14.3: 3AAB
15.1: 1CBBAA
15.2: 2ACCBB
15.3: 3BAA
16.1: 1ABBBA
16.2: 2CAAAB
16.3: 3BCC
17.1: 1CAABB
17.2: 2ACCAA
17.3: 3BBB
18.1: 1BBCAB
18.2: 2AABBA
18.3: 3CCA
19.1: 1CBABA
19.2: 2BCBAB
19.3: 3AAC
20.1: 1BACBA
20.2: 2CBBAB
20.3: 3ACA
21.1: 1AAAAA
21.2: 2CCBBB
21.3: 3BBC
22.1: 1CABAB
22.2: 2BBCBA
22.3: 3ACA
23.1: 1BCCAA
23.2: 2AAABB
23.3: 3CBB
24.1: 1ACABB
24.2: 2BBBAA
24.3: 3CAC
25.1: 1AACAB
25.2: 2CBABA
25.3: 3BCB
26.1: 1BABBA
26.2: 2ACCAB
26.3: 3CBA
27.1: 1CCBBB
27.2: 2BACAA
27.3: 3ABA
28.1: 1ACBAA
28.2: 2BBABB
28.3: 3CAC
29.1: 1BBABB
29.2: 2CABAA
29.3: 3ACC
30.1: 1CCAAA
30.2: 2ABCBB
30.3: 3BAB
31.1: 1ABCBA
31.2: 2BCAAB
31.3: 3CAB
32.1: 1BAAAB
32.2: 2CCCBA
32.3: 3ABB
33.1: 1AABBB
33.2: 2CCAAA
33.3: 3BBC
34.1: 1CBCAA
34.2: 2BABBB
34.3: 3ACA
35.1: 1CCCAB
35.2: 2ABBBA
35.3: 3BAA
36.1: 1BBBAA
36.2: 2CCABB
36.3: 3AAC
37.1: 1ACABA
37.2: 2CACAB
37.3: 3BBB
38.1: 1ABBAB
38.2: 2BAABA
38.3: 3CCC
39.1: 1CCCBA
39.2: 2BAAAB
39.3: 3ABB
40.1: 1BAAAA
40.2: 2ABBBB
40.3: 3CCC
